Unicode,Python Code,Occurrences,Position,Neg,Neut,Pos,Sentiment score,Unicode name,Unicode block,
0x2666,U2666,61,0.562,0.109,0.328,0.563,0.453,BLACK DIAMOND SUIT,Miscellaneous Symbols,6
0x261e,U261e,58,0.725,0.016,0.852,0.131,0.115,WHITE RIGHT POINTING INDEX,Miscellaneous Symbols,6
0x2702,U2702,58,0.81,0.574,0.311,0.115,-0.459,BLACK SCISSORS,Dingbats,6
0x274c,U274c,56,0.613,0.254,0.22,0.525,0.271,CROSS MARK,Dingbats,6
0x256d,U256d,53,0.49,0.071,0.696,0.232,0.161,BOX DRAWINGS LIGHT ARC DOWN AND RIGHT,Box Drawing,6
0x2727,U2727,53,0.399,0.036,0.607,0.357,0.321,WHITE FOUR POINTED STAR,Dingbats,6
0x256e,U256e,52,0.423,0.109,0.655,0.236,0.127,BOX DRAWINGS LIGHT ARC DOWN AND LEFT,Box Drawing,6
0x2705,U2705,51,0.673,0.074,0.444,0.481,0.407,WHITE HEAVY CHECK MARK,Dingbats,6
0x2500,U2500,47,0.711,0.02,0.82,0.16,0.14,BOX DRAWINGS LIGHT HORIZONTAL,Box Drawing,6
0x2570,U2570,47,0.51,0.16,0.74,0.1,-0.06,BOX DRAWINGS LIGHT ARC UP AND RIGHT,Box Drawing,6
0x266c,U266c,46,0.677,0.102,0.551,0.347,0.245,BEAMED SIXTEENTH NOTES,Miscellaneous Symbols,6
0x265a,U265a,46,0.389,0.02,0.918,0.061,0.041,BLACK CHESS KING,Miscellaneous Symbols,6
0x263c,U263c,43,0.461,0.065,0.674,0.261,0.196,WHITE SUN WITH RAYS,Miscellaneous Symbols,6
0x2753,U2753,41,0.615,0.182,0.568,0.25,0.068,BLACK QUESTION MARK ORNAMENT,Dingbats,6
0x2800,U2800,40,0.378,0.163,0.628,0.209,0.047,BRAILLE PATTERN BLANK,Braille Patterns,6
0x27a4,U27a4,39,0.382,0.024,0.643,0.333,0.31,BLACK RIGHTWARDS ARROWHEAD,Dingbats,6
0x2b06,U2b06,39,0.606,0.048,0.619,0.333,0.286,UPWARDS BLACK ARROW,Miscellaneous Symbols and Arrows,6
0x26aa,U26aa,37,0.565,0.025,0.5,0.475,0.45,MEDIUM WHITE CIRCLE,Miscellaneous Symbols,6
0x26c5,U26c5,37,0.616,0.125,0.3,0.575,0.45,SUN BEHIND CLOUD,Miscellaneous Symbols,6
0x25c9,U25c9,36,0.047,0.026,0.692,0.282,0.256,FISHEYE,Geometric Shapes,6
0x270f,U270f,35,0.625,0.105,0.447,0.447,0.342,PENCIL,Dingbats,6
0x2663,U2663,35,0.666,0.132,0.395,0.474,0.342,BLACK CLUB SUIT,Miscellaneous Symbols,6
0x2654,U2654,34,0.589,0.027,0.405,0.568,0.541,WHITE CHESS KING,Miscellaneous Symbols,6
0x2741,U2741,33,0.493,0.028,0.889,0.083,0.056,EIGHT PETALLED OUTLINED BLACK FLORETTE,Dingbats,6
0x2740,U2740,32,0.444,0.029,0.543,0.429,0.4,WHITE FLORETTE,Dingbats,6
0x2693,U2693,32,0.593,0.086,0.257,0.657,0.571,ANCHOR,Miscellaneous Symbols,6
0x2580,U2580,32,0.25,0.314,0.514,0.171,-0.143,UPPER HALF BLOCK,Block Elements,6
0x2795,U2795,31,0.034,0.147,0.176,0.676,0.529,HEAVY PLUS SIGN,Dingbats,6
0x2592,U2592,30,0.501,0.091,0.848,0.061,-0.03,MEDIUM SHADE,Block Elements,6
0x26fd,U26fd,30,0.287,0.061,0.727,0.212,0.152,FUEL PUMP,Miscellaneous Symbols,6
